[   30658ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   30658ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   32648ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   33444ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   35657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   35658ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   35658ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   37940ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   40657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   40659ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   40659ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   42005ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   43419ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   45659ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   45757ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   45757ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   48902ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   50663ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   50666ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   50666ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   54956ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   55657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   55657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/tasks?max_results=20:0
[   55662ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   55662ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   59031ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   60658ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   60659ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   60659ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
